time	action	midinote	velocity
0.847387428	144	62	13
0.8856753980000001	128	62	64
0.988988077	144	62	34
1.051991736	128	62	64
1.14197554	144	62	53
1.182362469	128	62	64
1.325839125	144	62	74
1.351751835	128	62	64
1.437917246	144	62	94
1.501806111	128	62	64
1.605265039	144	62	118
1.6686987960000002	128	62	64
1.9620905190000002	144	62	125
2.001604726	128	62	64
2.628473947	144	62	84
2.649761507	128	62	64
3.59713269	144	62	97
3.635583367	128	62	64
6.8981751760000005	144	62	37
6.916767769	128	62	64
7.060785493	144	62	49
7.086213528	128	62	64
7.189137069	144	62	69
7.252660657	128	62	64
7.339579529	144	62	87
7.402225541	128	62	64
7.488722688	144	62	109
7.551969235	128	62	64
12.435408031	144	43	61
12.460465084	128	43	64
13.118777805	144	43	73
13.147865914	128	43	64
14.271250139	144	43	58
14.311936286	144	62	39
14.337575965	128	62	64
14.341041688	128	43	64
15.11340019	144	62	76
15.167102345	128	62	64
15.410254894	144	43	63
15.532563166	128	43	64
15.996630448	144	62	77
16.051412993	128	62	64
16.225102477	144	43	70
16.312187281	128	43	64
16.878379034	144	62	121
16.933525473	128	62	64
17.148771085	144	43	66
17.25784285	128	43	64
18.394455698	144	62	104
18.403109047	128	62	64
18.48897807	144	62	100
18.535833181	128	62	64
18.621012725	144	62	96
18.666283427	128	62	64
18.756606413	144	62	91
18.820005983	128	62	64
18.890023126	144	62	86
18.932593404	128	62	64
36.634802306	144	43	68
36.635124777	128	43	64
37.785209724	144	43	70
37.856166802	128	43	64
49.496821845	144	43	73
49.59162723	128	43	64
57.66722171	144	43	79
57.787021777	128	43	64
67.525395022	144	43	73
67.614175685	128	43	64
68.672707946	144	43	56
68.770671456	128	43	64
76.552211034	144	43	75
76.703670029	128	43	64
77.213944198	144	43	57
77.318879133	128	43	64
77.828096253	144	43	69
77.918011967	128	43	64
78.477143929	144	43	63
78.578465315	128	43	64
88.832473538	144	62	78
88.852004996	144	43	85
88.871343146	128	62	64
88.87240185900001	128	43	64
89.265037928	144	62	63
89.319395199	128	62	64
89.463800042	144	62	71
89.470408229	128	62	64
89.559857077	144	62	68
89.621017027	128	62	64
95.145354344	144	62	87
95.155651445	128	62	64
95.256809009	144	62	89
95.303454062	128	62	64
95.398679354	144	62	90
95.457878789	128	62	64
100.444154377	144	43	54
100.484464173	128	43	64
100.484545328	144	43	42
100.533703346	128	43	64
101.642161212	144	62	68
101.705412849	128	62	64
102.030473446	144	62	61
102.104764701	128	62	64
102.191804	144	62	78
102.27165023	128	62	64
102.343670965	144	62	95
102.420854177	128	62	64
102.49229726	144	62	111
102.560420861	128	62	64
102.62597291	144	62	124
102.691390936	128	62	64
103.198564453	144	62	52
103.238780145	128	62	64
103.30852937	144	62	52
103.371785768	128	62	64
103.459074553	144	62	66
103.502185019	128	62	64
103.577709055	144	62	82
103.635753745	128	62	64
103.725177243	144	62	107
103.754493852	128	62	64
103.811297925	144	62	117
103.856220754	128	62	64
105.066435038	144	62	55
105.095103904	128	62	64
105.96550848	144	62	73
105.98446482	128	62	64
106.752047205	144	62	67
106.784871163	128	62	64
107.188918247	144	43	46
107.291154438	128	43	64
111.932227428	144	43	64
111.934319144	128	43	64
111.934405373	144	43	40
111.960619232	128	43	64
203.148375809	144	43	70
203.256973295	128	43	64
203.257072361	144	43	43
203.284684307	128	43	64
205.286170986	144	43	74
205.411772462	128	43	64
205.961395372	144	43	70
206.068073307	128	43	64
206.565797045	144	43	67
206.651073922	128	43	64
207.065407165	144	43	72
207.158518514	128	43	64
207.400499204	144	43	73
207.475400076	128	43	64
212.918745842	144	62	90
212.973865137	128	62	64
213.969119464	144	62	75
214.00817331	128	62	64
214.811715336	144	43	56
214.900246475	128	43	64
215.473472142	128	62	64
215.660368078	144	43	69
215.708424288	128	43	64
216.541208246	144	43	81
216.541479641	128	43	64
216.541751047	144	43	67
216.542072248	128	43	64
216.76592942	144	43	58
216.766179184	128	43	64
217.492717843	144	43	80
217.530129728	128	43	64
217.669332071	144	43	86
217.712521929	128	43	64
217.848310434	144	43	83
217.90409155	128	43	64
219.303096508	144	102	26
219.341591381	128	102	64
219.484405941	144	102	37
219.508656725	128	102	64
219.598145979	144	102	54
219.658531671	128	102	64
219.762105566	144	102	78
219.806285907	128	102	64
219.948808317	144	102	99
219.955999264	128	102	64
220.045030627	144	102	121
220.108444934	128	102	64
228.619310956	144	43	63
228.727550171	128	43	64
240.721281129	144	102	32
240.72776274	128	102	64
240.845136541	144	102	37
240.875827673	128	102	64
240.931515675	144	102	48
240.9894282	128	102	64
249.188366122	144	102	83
249.225922645	128	102	64
249.603256868	144	102	51
249.658788337	128	102	64
249.853442258	144	102	57
249.892538492	128	102	64
250.959922084	144	43	83
250.996834616	128	43	64
251.076271157	144	102	55
251.11027959	128	102	64
251.255067765	144	102	58
251.293896128	128	102	64
252.02134615	144	43	78
252.065558558	128	43	64
252.57002134	144	102	45
252.626881264	128	102	64
252.715294229	144	102	46
252.75843071	128	102	64
252.846692009	144	102	57
252.909756311	128	102	64
253.936581903	144	102	66
253.976652959	128	102	64
254.048558258	144	102	65
254.109920356	128	102	64
254.163630372	144	102	69
254.224061073	128	102	64
265.555456527	144	102	59
265.561166611	128	102	64
265.986758029	144	102	67
266.026541019	128	102	64
266.119198858	144	43	59
266.221980287	128	43	64
266.321321907	144	102	77
266.375208878	128	102	64
266.480297384	144	102	80
266.523574703	128	102	64
266.667190452	144	102	77
266.693037186	128	102	64
266.780543304	144	102	78
266.826672213	128	102	64
266.97057583	144	102	80
266.978689134	128	102	64
268.188038244	144	102	1
268.20663702	128	102	64
268.282333953	144	102	12
268.340525761	128	102	64
268.416345497	144	102	36
268.459959255	128	102	64
268.547163225	144	102	66
268.592880475	128	102	64
268.620262202	144	43	99
268.6803706	144	102	100
268.680892178	128	43	64
268.723134578	128	102	64
269.403874508	144	102	23
269.443051585	128	102	64
269.49796402	144	102	56
269.559084126	128	102	64
269.63135821	144	102	77
269.678360245	128	102	64
269.765108557	144	102	102
269.813205376	128	102	64
271.302939669	144	43	24
271.345116355	128	43	64
271.353969551	144	102	4
271.442724392	128	102	64
271.545606613	144	102	35
271.642613049	128	102	64
271.69718341	144	102	57
271.776858425	128	102	64
271.833013888	144	102	83
271.87634549	128	102	64
271.957791697	144	43	69
272.003176208	128	43	64
272.304749775	144	102	91
272.323436032	128	102	64
272.609940383	144	43	50
272.682138849	128	43	64
272.939521654	144	43	44
273.024994687	128	43	64
273.570657688	144	102	42
273.590046185	128	102	64
273.943420254	144	43	45
273.993512462	128	43	64
274.643498249	144	43	50
274.683250335	128	43	64
275.090090825	144	102	21
275.107921854	128	102	64
275.341239494	144	43	42
275.38364626	128	43	64
275.587060089	144	102	44
275.626440376	128	102	64
275.705278565	144	43	50
275.763485011	128	43	64
275.920325189	144	102	58
275.992604359	128	102	64
276.220909101	144	102	92
276.291949729	128	102	64
276.737991544	144	43	39
276.738297329	128	43	64
276.803688616	144	102	56
276.843107584	128	102	64
277.440576566	144	43	52
277.498417894	128	43	64
277.588422105	144	102	43
277.626771174	128	102	64
278.103284156	144	43	45
278.222514304	144	102	56
278.260637171	128	102	64
278.420613961	144	102	58
278.475321679	128	102	64
278.563588448	144	102	61
278.626943757	128	102	64
278.627465485	128	43	64
278.797930355	144	43	35
278.884587711	128	43	64
279.269111013	144	43	44
279.317790143	128	43	64
279.914297284	144	43	48
279.985095661	128	43	64
280.322491064	144	102	43
280.377001783	128	102	64
280.519889189	144	102	60
280.527821125	128	102	64
280.646257067	144	43	47
280.713890467	128	43	64
281.319456731	144	43	62
281.370383873	128	43	64
281.999376606	144	43	75
282.050058187	128	43	64
282.332378014	144	43	81
282.437170751	128	43	64
282.673354955	144	43	55
282.736745804	128	43	64
282.903992988	144	102	51
282.924817614	128	102	64
283.238477675	144	102	71
283.326949881	128	102	64
283.471992095	144	102	107
283.579384421	128	102	64
283.679884882	144	102	117
283.776449171	128	102	64
284.069052539	144	43	42
284.164290638	128	43	64
285.406212586	144	43	45
285.449529345	128	43	64
285.772311957	144	43	114
285.826453599	128	43	64
286.055152518	144	102	84
286.095684475	128	102	64
